PassengerId,Name,Sex,Age,Pclass,Fare,Embarked,Cabin,Survived
72,Nancy Williams,female,60.0,First,72.44,C,,1
73,Jason Mckinney,female,54.0,Second,29.66,Q,,0
74,Gabrielle Perez,female,9.0,First,166.42,S,,1
75,Danielle Gray,male,20.0,Third,123.65,Q,z37,0
76,Tony Davis,female,33.0,Third,50.27,Q,c51,1
77,Jordan Walker,male,14.0,Second,232.93,C,o04,1
78,Edwin Rios,male,32.0,First,195.4,Q,o26,1
79,Calvin Garner,male,69.0,Second,98.94,S,t54,1
80,Micheal Collins,female,56.0,First,162.54,Q,,1
81,Michelle Estrada,male,67.0,Third,74.82,C,d28,1
82,Julie Daniel,female,32.0,Second,30.8,S,X15,1
83,Alyssa Jones,female,4.0,Second,88.0,C,V70,1
84,Charles Sanders,female,36.0,Second,133.99,S,k14,0
85,Joshua Campbell,female,31.0,Third,165.02,S,,1
86,Kimberly Mckee,male,32.0,Second,149.57,Q,i18,1
87,Teresa Tanner,female,71.0,Third,178.69,C,,1
88,Lindsay Lyons,male,16.0,Second,238.21,S,,0
89,Stephanie May,female,68.0,Second,245.32,C,,1
90,Brandon Evans,male,2.0,Second,40.38,S,G23,0
91,Zachary Ward,male,63.0,Third,12.94,C,e28,1
92,Brandon Velez,female,7.0,First,216.81,S,r99,0
93,Jennifer Herrera,male,7.0,Third,204.67,S,B05,1
94,Ebony Montgomery,male,54.0,Third,199.78,Q,R12,0
95,Daniel Burton,female,55.0,Second,159.05,Q,,1
96,Adrian Davis,male,28.0,Third,29.48,S,q39,0
97,Robert Harris,male,53.0,First,152.51,S,,0
98,Carolyn Rice,female,,Third,66.02,Q,Y75,1
99,Allison Hunter,male,15.0,Second,165.43,S,,1
100,Cheryl Smith,male,73.0,Second,115.4,Q,,1
101,Robert Stewart,female,65.0,Second,115.06,C,I63,1
102,Alan Lewis,female,12.0,First,171.83,Q,i51,1
103,Tina Stone,female,6.0,Third,52.05,C,u05,1
104,Carol Gonzalez,male,56.0,Third,128.01,C,,0
105,John Orr,female,14.0,Second,89.15,C,Y88,1
106,Tracy Petersen,female,5.0,Third,85.48,C,P29,1
107,Carolyn Ramsey,male,70.0,Third,23.01,Q,y95,1
108,Jimmy Lopez,female,27.0,First,41.44,Q,x35,1
109,Scott Gonzalez,male,31.0,Third,84.58,Q,h45,0
110,Joshua Torres,male,60.0,First,165.45,Q,,0
111,Mark Cruz,female,62.0,Second,68.5,C,,1
112,Krystal Richardson,male,36.0,First,215.06,Q,,0
113,Glenn Rhodes,male,39.0,Second,149.18,S,Q65,1
114,Trevor Taylor,female,43.0,Second,140.42,C,m91,1
115,Anthony Morgan,male,50.0,Third,196.13,C,Y44,0
116,Yesenia Bell,female,20.0,Second,18.88,Q,,1
117,Joseph Goodman,male,13.0,Second,119.66,C,Y37,0
118,Katherine Sullivan,male,61.0,First,73.61,C,u95,1
119,Melissa Gonzalez DVM,female,69.0,Third,86.0,C,f06,1
120,Melissa Cooper,male,9.0,Third,174.26,S,U95,1
121,Jose Massey,female,13.0,First,176.56,S,,1
122,Judy Molina,male,46.0,Second,44.94,Q,E52,1
123,Anna Banks,male,,First,219.0,S,z39,1
124,Kyle Rogers,male,60.0,First,120.3,C,k85,1
125,Maria Vazquez,male,57.0,First,247.04,C,a32,0
126,Angela Hogan,female,26.0,Second,214.8,C,z30,0
127,Sarah Freeman,female,,Third,209.21,S,f35,1
128,Erik Thornton,male,64.0,Third,226.7,Q,Z78,0
129,John Williams,male,25.0,Third,172.66,Q,,0
130,Geoffrey Buck,male,,Second,97.57,S,M52,0
131,Linda Medina,female,54.0,Third,41.72,C,E51,1
132,Terry Peterson,female,33.0,First,236.61,C,h38,1
133,Jessica Newman,female,60.0,First,43.78,Q,V86,1
134,Roberta Miller,female,47.0,Third,104.7,S,C14,1
135,Jason Castillo,female,49.0,Third,235.67,S,r37,0
136,William Martin,female,29.0,Third,162.5,Q,,1
137,Melissa Mckinney,female,,First,18.93,S,,1
138,Gary Patrick,male,59.0,Second,237.85,Q,O15,1
139,Mike Winters,male,13.0,Second,157.76,S,b70,1
140,Joseph Alexander,male,57.0,Second,215.31,Q,V63,0
141,Joshua May,female,51.0,First,242.37,C,,1
142,Jamie Perez,male,,Third,90.04,Q,,0
143,David Gonzalez,male,28.0,Third,65.92,Q,,0
144,Angel Miller,male,70.0,First,51.88,S,,1
145,Jonathan Brown,female,,First,73.69,C,r70,0
146,Ronald Olson,male,58.0,Second,133.18,C,u78,0
147,Teresa Park,male,67.0,Third,164.4,S,c32,0
148,Derrick Young,female,14.0,Second,228.33,S,,0
149,Eric Smith,male,17.0,First,161.94,C,i02,1
150,Sheila Smith,female,65.0,Second,33.8,Q,Y01,1
151,David Hernandez,male,58.0,Second,109.32,C,a16,1
152,Keith Parker,male,55.0,Second,71.17,Q,S30,0
153,Jill Fletcher,male,11.0,First,33.18,S,O51,1
154,Elizabeth Glover,female,16.0,Third,219.67,C,p98,1
155,Katherine Jones,male,40.0,Second,148.7,S,h33,0
156,Mrs. Michelle Phillips,male,45.0,First,98.21,Q,,1
157,Lawrence Michael,female,,Third,232.98,C,,1
158,Catherine Bryan,female,40.0,Third,94.25,S,B81,0
159,Eric Tucker,female,19.0,First,243.23,Q,,0
160,Lindsey Mack,female,44.0,Second,84.79,Q,C69,1
161,Karl Mcclure,male,21.0,First,21.94,C,n80,0
162,Lee Swanson,female,57.0,Third,61.74,C,e36,1
163,Casey Horton,female,63.0,Third,84.02,Q,,0
164,Vanessa Mills,male,28.0,Second,193.4,C,,1
165,Steven Mueller,female,56.0,Third,101.25,Q,T79,1
166,Jasmine Sandoval,female,51.0,First,20.15,S,L22,0
167,Joseph Stokes,female,52.0,Third,110.25,S,d34,0
168,Maxwell Beard,male,59.0,Third,230.74,C,M20,0
169,Timothy Butler,male,52.0,Second,104.98,Q,,1
170,Mary Perkins,female,10.0,First,37.37,C,W62,1
171,Connie Gibbs,male,14.0,First,57.35,Q,,1
172,Barbara Brooks,female,73.0,Second,117.74,Q,i21,1
173,Mr. James Robinson,female,41.0,Third,26.39,C,P49,1
174,Amanda Mills,male,,Second,120.82,S,Y50,0
175,Jill Hernandez,female,12.0,First,131.7,Q,h15,1
176,Calvin Lam,male,74.0,Second,87.17,Q,,1
177,Amy Cooper,male,14.0,Second,210.97,Q,K16,0
178,Bryan Meyers,male,57.0,First,135.78,C,U29,1
179,Robert Mitchell,female,53.0,Second,172.94,Q,E48,0
180,Brian Whitney,male,13.0,Second,102.78,Q,p97,1
181,Edward Garner,male,11.0,Second,43.94,C,f56,1
182,Patricia Phillips,female,11.0,First,100.4,S,C12,1
183,William Morris,male,55.0,Third,14.38,S,e58,1
184,Joseph Hines,female,25.0,Second,43.02,S,R81,0
185,Anthony Black,male,44.0,Third,158.33,S,,1
186,Mary West,male,,Third,97.43,C,Q68,0
187,Aaron Jenkins,female,69.0,First,241.74,S,H70,1
188,Stephen Mitchell,female,37.0,Second,130.7,S,Y18,1
189,Michael Holmes,male,7.0,Second,219.79,Q,O66,0
190,Vincent Underwood,male,11.0,Second,75.47,C,,0
191,Jacob Woods,male,45.0,Second,109.58,Q,V28,1
192,Anthony Taylor,female,48.0,First,86.48,Q,P09,0
193,Jean Tapia,male,5.0,First,209.14,S,Y21,1
194,Kenneth Flores,female,1.0,Second,14.56,S,U33,0
195,Jonathan Wilson,female,37.0,First,39.24,Q,a36,0
196,Brian Schultz,female,15.0,First,129.96,Q,Q36,1
197,Donna Arnold,male,19.0,Third,10.38,S,b55,1
198,Jennifer Hill,male,11.0,Third,96.54,C,E62,0
199,Angel Wheeler,male,50.0,Third,70.88,C,s68,0
200,Kerry Lara,female,14.0,First,186.44,S,p47,1
201,Stephanie Warren,female,23.0,Third,174.32,C,C57,1
202,Carla Hess,male,,First,58.38,S,,1
203,Chelsea Smith,female,51.0,Third,140.33,Q,,1
204,Shannon Greene,female,43.0,First,201.84,C,d91,1
205,Anthony Freeman,female,24.0,Second,129.41,Q,,1
206,Erika Robles,male,,Third,154.59,Q,,0
207,Jamie Harris,male,42.0,First,83.56,C,,1
208,Sarah Phillips,female,,Second,218.81,C,,1
209,Jane Skinner,male,52.0,First,202.26,S,,1
210,Chelsea Graham,female,,First,196.84,C,X59,1
211,Traci Thompson,male,20.0,Third,237.72,C,a22,1
212,Vanessa Ashley DDS,male,47.0,Third,165.89,S,,0
213,Keith Johnson,male,67.0,Second,144.8,C,e68,1
214,Christine Lyons,male,37.0,Third,249.67,S,,0
215,Ariana Brown,male,23.0,Second,116.83,Q,a03,0
216,Daniel Gonzales,female,45.0,Third,142.0,C,e48,1
217,Katie Bowman,male,66.0,Second,246.43,S,C92,0
218,Yvonne Ramos,male,71.0,Second,122.18,Q,r84,0
219,Jonathan Kim,male,51.0,Second,182.53,C,P17,1
220,Arthur Wilson,male,41.0,First,117.99,C,,1
221,Christopher Williams,male,56.0,First,218.37,Q,,1
222,Jessica Simmons,male,42.0,First,64.11,Q,X88,1
223,Kevin Francis,male,26.0,Second,142.2,Q,,0
224,Thomas Allison,male,22.0,Third,149.36,Q,C76,0
225,Amber Ware,female,6.0,Third,16.81,Q,a57,0
226,Jennifer Cox,female,27.0,Third,109.98,C,h01,1
227,Alexandra Obrien,female,39.0,Third,203.13,C,u67,1
228,Misty Phillips,male,57.0,First,121.47,S,,0
229,Dr. Donald Flores,female,45.0,Third,41.38,Q,,1
230,Erica Gordon,male,16.0,Second,69.5,S,,0
231,Joseph Taylor,female,54.0,Third,217.67,C,r85,0
232,Christopher Perkins,female,21.0,First,133.53,C,R07,1
233,Chad Combs,male,65.0,Second,67.77,S,,1
234,John Allen,female,61.0,Third,11.96,S,K73,0
235,Gregory Tate,female,,Second,22.28,C,M85,1
236,Patrick Parker,male,65.0,Second,141.97,S,R26,0
237,Tammy Wilson,female,44.0,Second,97.75,Q,C27,0
238,Mary Bowman,male,5.0,First,89.93,C,,1
239,Donna Wilson,male,41.0,Second,247.75,Q,,1
240,Jeremy James,female,73.0,Third,205.78,Q,,1
241,Andrew Lawson,female,40.0,Third,184.08,S,C08,1
242,Michael Moreno,female,75.0,Third,183.14,S,e18,1
243,Nicholas Hansen,female,,First,237.57,S,H84,0
244,Gina Baker,female,53.0,First,108.49,C,b71,1
245,Billy Martinez,male,18.0,Third,144.61,Q,I99,1
246,Jessica Vazquez,male,69.0,Second,95.03,Q,W33,1
247,Allison Stark,male,72.0,Second,235.96,C,w08,1
248,Victoria Oconnell,female,62.0,Second,234.09,C,,1
249,Katrina Peterson,female,45.0,Second,203.11,C,s19,1
250,Darrell Simpson,male,57.0,Second,189.36,S,q57,0
251,Natalie Mercado,female,35.0,Third,157.76,S,,1
252,Robert Gillespie,male,,Third,109.19,S,Q70,1
253,Jason Bailey,male,71.0,First,47.91,C,n61,1
254,Erica Flynn,male,42.0,Second,24.2,Q,B89,0
255,Rhonda Collins,male,54.0,First,52.19,C,L56,1
256,Joseph Smith,male,38.0,Third,12.22,C,,0
257,Tina Cox,female,65.0,First,56.27,S,f99,0
258,Sharon Barrett,female,,Third,90.91,Q,Y84,1
259,Ariel Arnold DVM,male,52.0,Third,133.67,C,n97,0
260,Christopher Waller,male,62.0,First,69.53,S,r37,0
261,David Frey,female,39.0,Second,147.49,C,H95,1
262,Bryan Clark MD,male,16.0,Third,48.33,Q,,1
263,David White,female,29.0,Second,42.06,Q,j25,0
264,Kristy Richardson,female,71.0,Second,191.76,S,Y48,1
265,Matthew Smith,male,58.0,Third,96.83,S,O62,0
266,Antonio Townsend,male,69.0,Third,88.75,S,X04,1
267,Mark Smith,female,66.0,First,23.35,C,B24,0
268,Rebecca Cummings,male,60.0,Third,83.96,C,,0
269,Scott Patterson,male,28.0,Third,20.87,Q,,1
270,Steven James,male,,First,108.13,Q,H53,1
271,Joseph Kramer,female,49.0,Second,230.11,S,f17,1
272,Tamara Anderson,male,45.0,Third,248.28,Q,,1
273,Hannah Rich,male,3.0,First,121.12,C,K17,1
274,Natalie Carter,male,59.0,First,76.16,Q,R49,1
275,Patricia Mcdaniel,male,54.0,Third,234.7,S,,0
276,Jeffery Banks,male,5.0,Third,171.29,S,k90,0
277,Kelly Schmidt,female,30.0,Second,191.05,S,Z55,1
278,Benjamin Russell,female,74.0,First,153.5,C,,1
279,Charles Washington,male,67.0,Third,82.12,Q,T21,0
280,Kimberly Greene,male,55.0,Third,21.25,Q,h01,1
281,Katherine Cook,female,54.0,Third,81.97,Q,b40,0
282,Mario Henderson,male,19.0,Second,229.54,C,h75,1
283,Brittany Black,male,32.0,Second,89.26,C,j35,0
284,James Hubbard,male,,Third,100.52,S,,0
285,Kathleen Mendoza,male,27.0,Second,89.91,S,Y03,0
286,Jennifer Smith,male,62.0,Third,176.95,C,W91,0
287,Susan Hogan,female,49.0,Second,165.69,C,u15,1
288,Sarah Barnett,female,13.0,Second,183.38,C,F58,1
289,Max Roberts,female,,Second,217.38,S,,1
290,Derek Johnson,female,20.0,Second,65.2,S,J44,1
291,Jonathan Lawrence,female,63.0,Second,164.01,S,k37,1
292,Shelly Smith,female,18.0,First,127.2,Q,w48,1
293,Christy Raymond,male,5.0,Third,27.84,S,K19,0
294,Justin Scott,male,,First,131.38,Q,N70,0
295,Mary Tyler,female,,Third,137.73,S,K95,1
296,Deborah Carr,female,,Third,205.16,S,,1
297,Cynthia Scott,male,20.0,Third,158.75,C,,1
298,James Price,female,48.0,First,120.16,Q,,0
299,Lauren Molina,male,5.0,Third,101.02,S,d85,1
300,James Long,male,64.0,First,164.78,S,l06,0
